item_name,item_type,unique_id,item_name_rp,item_type_rp,git_rp,item_name_hm,item_type_hm,item_name_hm_db,item_type_hm_db,item_name_rp_db,item_type_rp_db,item_name_rp_cf,item_type_rp_cf,item_name_hm_cf,item_type_hm_cf,dot_struc_cf,cat_1_cf,cat_1_name_cf,cat_2_cf,comment_cf,no_show_cf,sort_orig,unique_id_rp,unique_id_db,unique_id_hm,unique_id_cf,item_name_repo,item_type_repo,item_name_home,item_type_home,sort_out,st_docs,st_alert,dot_struc,st_db_all,st_misc,m_status_dict,m_consol_dict,m_status_result,m_consol_result,st_match_symb
.Xencelabs,folder,183,.Xencelabs,folder,True,.Xencelabs,folder_sym,.Xencelabs,folder_sym,.Xencelabs,folder,.Xencelabs,folder,.Xencelabs,folder_sym,rp>hm,apps,Applications,regular,Xencelabs dedicated controller config,False,76,183,379,257,460,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.adobe,folder,186,.adobe,folder,True,.adobe,folder_sym,.adobe,folder_sym,.adobe,folder,.adobe,folder,.adobe,folder_sym,rp>hm,apps,Applications,regular,,False,77,186,380,260,461,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.omniboard,folder,203,.omniboard,folder,True,.omniboard,folder_sym,.omniboardTEST🥹,folder_sym,.omniboard,folder,.omniboard,folder,.omniboard,folder_sym,rp>hm,oth,Other,projects,Omniboard project management tool,False,80,203,384,281,464,,,,,-1,,YAML Inconsistency,,,,{},{},False,True,OOO | OXO | XX
.omniboard,folder,203,.omniboard,folder,True,.omniboard,folder_sym,.omniboard,folder_sym,.omniboard,folder,.omniboard,folder,.omniboard,folder_sym,rp>hm,oth,Other,projects,Omniboard project management tool,False,80,203,383,281,464,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.bash_history,file,231,.bash_history,file,False,.bash_history,file_sym,.bash_history,file_sym,.bash_history,file,.bash_history,file,.bash_history,file_sym,rp>hm,term,Terminal,bash,,False,18,231,327,313,402,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.sh_history,file,209,.sh_history,file,False,.sh_history,file_sym,.sh_history,file_sym,.sh_history,file,.sh_history,file,.sh_history,file_sym,rp>hm,term,Terminal,bash,Shell history file,False,20,209,329,288,404,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.npm,folder,218,.npm,folder,False,.npm,folder_sym,.npm,folder_sym,.npm,folder,.npm,folder,.npm,folder_sym,rp>hm,swd,Software Development,pkg mgrs plus,Node.js package manager,False,24,218,332,299,408,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.nvm,folder,192,.nvm,folder,False,.nvm,folder_sym,.nvm,folder_sym,.nvm,folder,.nvm,folder,.nvm,folder_sym,rp>hm,swd,Software Development,pkg mgrs plus,Node.js version manager,False,26,192,334,266,410,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.python_history,file,227,.python_history,file,False,.python_history,file_sym,.python_history,file_sym,.python_history,file,.python_history,file,.python_history,file_sym,rp>hm,swd,Software Development,python,,False,34,227,342,309,418,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.pyenv,folder,219,.pyenv,folder,False,.pyenv,folder_sym,.pyenv,folder_sym,.pyenv,folder,.pyenv,folder,.pyenv,folder_sym,rp>hm,swd,Software Development,python,Python version manager,False,35,219,343,300,419,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.vscode,folder,222,.vscode,folder,False,.vscode,folder_sym,.vscode,folder_sym,.vscode,folder,.vscode,folder,.vscode,folder_sym,rp>hm,swd,Software Development,microsoft,,False,41,222,349,303,425,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.git,folder,220,.git,folder,False,,,,,,,.git,folder,.git,none,rp,swd,Software Development,vcs git,Repo .git folder,False,58,220,0,0,442,,,,,-1,,,rp,,,{},{},True,True,O_O | ___ | o_
.config,folder,168,.config,folder,False,.config,folder_sym,.config,folder_sym,.config,folder,.config,folder,.config,folder_sym,rp>hm,sys,System,general,,False,63,168,370,237,447,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.cache,folder,228,.cache,folder,False,.cache,folder_sym,.cache,folder_sym,.cache,folder,.cache,folder,.cache,folder_sym,rp>hm,sys,System,general,,False,64,228,369,310,448,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.local,folder,188,.local,folder,False,.local,folder_sym,.local,folder_sym,.local,folder,.local,folder,.local,folder_sym,rp>hm,sys,System,general,,False,65,188,371,262,449,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.dropbox,folder,207,.dropbox,folder,False,.dropbox,folder_sym,.dropbox,folder_sym,.dropbox,folder,.dropbox,folder,.dropbox,folder_sym,rp>hm,apps,Applications,cloud,,False,78,207,381,285,462,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.pcloud,folder,233,.pcloud,folder,False,.pcloud,folder_sym,.pcloud,folder_sym,.pcloud,folder,.pcloud,folder,.pcloud,folder_sym,rp>hm,apps,Applications,cloud,,False,79,233,382,316,463,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
